query_id,mean_length_relevant,mean_length_top10_VSM,mean_length_top10_BM25,delta_AP,num_relevant
112,137.000000,58.100000,76.000000,0.129167,2
113,72.000000,90.500000,104.500000,-0.365114,4
114,82.500000,89.000000,115.000000,-0.047237,4
115,123.250000,72.900000,77.800000,0.045213,4
116,103.200000,113.300000,141.100000,0.016835,5
117,82.500000,99.100000,115.800000,0.006520,2
118,82.666667,96.700000,111.100000,0.098815,3
119,80.000000,59.200000,85.500000,0.000000,1
120,73.444444,55.700000,75.000000,-0.028808,9
121,60.000000,52.500000,67.600000,-0.128514,7
122,61.111111,57.500000,64.000000,-0.018120,9
123,110.500000,76.600000,77.200000,0.027763,2
124,78.500000,63.100000,66.600000,0.000431,4
125,110.294118,80.300000,103.900000,0.061313,17
126,99.125000,85.800000,92.700000,0.058769,8
127,116.800000,66.100000,76.200000,0.043358,5
128,97.500000,74.000000,93.200000,0.005080,2
129,107.571429,83.100000,94.300000,-0.089452,7
130,105.200000,87.500000,108.800000,0.163663,5
131,75.375000,60.900000,74.500000,0.045823,8
132,72.400000,47.800000,62.600000,-0.005031,15
133,80.714286,48.500000,67.000000,0.033141,7
134,82.000000,55.100000,95.000000,-0.010303,2
135,67.750000,48.000000,65.100000,0.082505,8
136,64.333333,50.900000,87.400000,0.010417,3
137,60.750000,65.500000,78.100000,-0.016239,4
138,95.000000,66.200000,71.800000,0.008571,2
139,76.000000,75.900000,82.800000,-0.001310,4
140,84.000000,83.300000,89.900000,0.026735,6
141,84.000000,84.300000,89.200000,-0.033577,6
142,48.000000,76.700000,87.400000,-0.041667,1
143,89.500000,63.300000,96.800000,0.325758,2
144,50.166667,58.900000,71.100000,-0.185221,6
145,59.142857,64.400000,92.100000,-0.211190,7
146,33.000000,71.400000,78.800000,-0.166667,2
147,95.300000,46.800000,68.000000,-0.005145,10
148,68.666667,67.400000,107.400000,-0.239593,6
149,72.000000,65.100000,82.600000,0.050697,11
150,108.500000,94.100000,110.600000,0.000000,2
151,80.000000,106.100000,107.500000,-0.003146,5
152,106.333333,107.900000,133.500000,-0.003142,6
153,69.571429,68.200000,103.200000,0.065400,7
154,91.000000,69.200000,73.600000,0.333333,2
155,75.833333,86.300000,93.300000,-0.209126,6
156,91.357143,78.800000,93.700000,0.003106,14
157,99.179487,114.300000,136.200000,-0.002555,39
158,81.875000,68.500000,105.800000,0.073424,8
159,101.875000,99.000000,114.900000,-0.006003,8
160,98.800000,62.700000,75.800000,-0.005947,5
161,113.000000,100.900000,106.100000,0.008282,6
162,105.375000,96.800000,104.100000,0.053411,8
163,104.666667,103.600000,114.900000,0.054100,3
164,118.000000,67.100000,107.800000,0.126319,8
165,107.500000,94.600000,121.100000,0.216667,2
166,107.750000,91.200000,112.300000,0.017516,8
167,159.500000,94.700000,96.600000,0.525000,2
168,48.000000,85.900000,94.700000,-0.065826,2
169,72.500000,81.100000,83.400000,0.104337,4
170,62.500000,66.600000,95.200000,0.018709,6
171,99.333333,81.700000,109.600000,0.333333,3
172,62.750000,76.700000,83.000000,-0.091667,4
173,53.500000,72.500000,84.000000,0.416667,2
174,85.800000,73.800000,84.600000,-0.115448,5
175,85.400000,88.300000,103.400000,-0.022460,5
176,64.571429,71.200000,82.800000,0.041130,7
177,95.000000,105.500000,112.800000,-0.087302,5
178,99.250000,52.300000,69.500000,-0.032738,4
179,103.000000,67.700000,83.900000,0.139538,4
180,73.142857,91.400000,95.100000,-0.041432,7
181,105.000000,93.100000,112.600000,0.006735,5
182,150.000000,106.700000,129.400000,0.000000,2
183,94.769231,102.400000,104.700000,-0.069926,13
184,102.714286,64.300000,105.700000,0.125210,7
185,105.222222,87.700000,110.600000,0.161945,9
186,97.937500,86.400000,110.400000,-0.056249,16
187,53.500000,53.400000,65.700000,-0.064505,6
188,87.727273,90.600000,87.300000,-0.046979,11
189,97.333333,67.600000,93.700000,0.051442,9
190,57.000000,91.600000,102.700000,-0.337027,5
191,83.307692,91.000000,128.400000,-0.027420,13
192,73.500000,58.400000,75.200000,0.010417,4
193,94.555556,69.400000,83.300000,0.081856,9
194,89.000000,49.900000,63.200000,0.114132,6
195,101.666667,53.500000,73.300000,0.067018,3
196,87.833333,84.800000,84.900000,0.012512,12
197,62.666667,57.000000,83.200000,-0.114788,3
