query_id,num_relevant,AP_b0,AP_b1,top10_overlap,top10_changed,delta_AP,abs_delta_AP
201,16,0.302540,0.299397,5,5,-0.003143,0.003143
202,14,0.248183,0.191622,6,4,-0.056561,0.056561
203,14,0.208891,0.126282,5,5,-0.082609,0.082609
204,14,0.037527,0.046772,7,3,0.009245,0.009245
205,2,0.666667,0.642857,7,3,-0.023810,0.023810
206,3,0.301808,0.180071,6,4,-0.121737,0.121737
207,5,0.122719,0.177185,8,2,0.054467,0.054467
208,6,0.660714,0.691667,8,2,0.030952,0.030952
209,12,0.118907,0.138542,7,3,0.019636,0.019636
210,6,0.353016,0.340002,6,4,-0.013014,0.013014
211,11,0.130743,0.139707,6,4,0.008964,0.008964
212,14,0.453281,0.498388,8,2,0.045107,0.045107
213,11,0.571692,0.542138,8,2,-0.029554,0.029554
214,4,0.107786,0.161479,7,3,0.053693,0.053693
215,2,0.033120,0.051843,6,4,0.018724,0.018724
216,1,0.002933,0.002451,4,6,-0.000482,0.000482
217,15,0.192034,0.329129,3,7,0.137094,0.137094
218,15,0.294696,0.259394,2,8,-0.035302,0.035302
219,18,0.038779,0.036386,5,5,-0.002393,0.002393
220,19,0.167024,0.196054,4,6,0.029029,0.029029
221,18,0.228667,0.223551,6,4,-0.005116,0.005116
222,9,0.810593,0.733199,8,2,-0.077394,0.077394
223,4,0.675595,0.432540,7,3,-0.243056,0.243056
224,8,0.129158,0.128410,8,2,-0.000747,0.000747
225,24,0.095047,0.090268,5,5,-0.004778,0.004778
